state_Arizona,state_California,state_Nevada,state_Oregon,state_Washington,coverage_encoded,employmentstatus_encoded,location_code_encoded,marital_status_Divorced,marital_status_Married,marital_status_Single,policy_type_Corporate Auto,policy_type_Personal Auto,policy_type_Special Auto,renew_offer_type_Offer1,renew_offer_type_Offer2,renew_offer_type_Offer3,renew_offer_type_Offer4,sales_channel_Agent,sales_channel_Branch,sales_channel_Call Center,sales_channel_Web,vehicle_class_Four-Door Car,vehicle_class_SUV,vehicle_class_Sports Car,vehicle_class_Two-Door Car,vehicle_size_encoded,month,year,index,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2011,0.0,0.04904798144627812,0.9987721558094674,0.0012246379989134103,0.0005679480574670889,8.874188397923264e-05,0.0,1.7748376795846528e-05,0.006829773232197887
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,2011,0.00014141433049480454,0.987006396887196,0.0,0.013292947066511627,0.001838386296432459,0.005939401880781791,0.0,0.0011313146439584363,0.16000535626137255
0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2011,3.9647588474051256e-05,0.2554777932733317,0.9667469735570289,0.002140969777598768,0.00035682829626646135,0.0007533041810069739,0.0,3.9647588474051256e-05,0.011229629265513559
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2011,0.00039137745758374,0.997472654295943,0.0,0.013828670167958811,0.00234826474550244,0.008479844914314366,0.0,0.0009132140676953932,0.06912787107859171
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,2011,9.106118408220366e-05,0.06405454438070117,0.9979395163568701,0.001661866609500217,0.000273183552246611,0.0010016730249042404,0.0,2.2765296020550916e-05,0.0031445903500139003
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,2011,7.881233998756599e-05,0.13013962985043862,0.9914907619795752,0.0010876102918284108,0.00022067455196518476,0.0014816719917662407,0.0,3.15249359950264e-05,0.002512270098871302
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,2011,0.00010789055382714076,0.09675802232095772,0.9952903590553736,0.0012047778510697385,0.0,0.00023376286662547165,0.0,0.00016183583074071115,0.0057829336851347455
1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,2011,0.0009686896551035527,0.9985945316364613,0.0,0.013976807880779832,0.0,0.009410128078148797,0.0,0.0005535369457734587,0.05023758507307901
0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,2011,0.00030254763439011966,0.2483639780077416,0.9685558268942365,0.00312632555536457,0.0005714788649591149,0.00023531482674787085,0.0,0.0002689312305689953,0.014304715504872393
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2011,0.002099066642293917,0.9947460071477201,0.0,0.014063746503369244,0.0048278532772760094,0.0010495333211469585,0.0,0.0006297199926881751,0.10125897482425855
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2011,0.0013389433005719816,0.9977801919142111,0.0,0.013389433005719816,0.0032864971923130455,0.010589824286342036,0.0,0.0003651663547014495,0.06426927842745511
0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,2011,0.00015478182769267869,0.11349115680176695,0.9935187549880223,0.0014188334205162212,0.00011608637076950901,0.0010576758225666375,2.5796971282113113e-05,3.869545692316967e-05,0.0060884687848462024
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2011,0.000129694982806825,0.08798326992447648,0.9961073506421111,0.0010974190852885194,0.0002294603541966904,0.0002494134284746635,9.97653713898654e-06,7.981229711189231e-05,0.0052676116093848925
