,total_claim_amount
0,384.811147
1,1131.464935
2,566.472247
3,529.881344
4,138.130879
5,159.383042
6,321.6
7,363.02968
8,425.527834
9,482.4
10,528.0
11,472.029737
12,528.0
13,307.139132
14,42.920271
15,454.245098
16,647.442031
17,308.981664
18,484.8
19,355.2
20,379.2
21,554.376763
22,439.2
23,389.185006
24,799.2
25,516.237951
26,532.8
27,384.0
28,322.294043
29,308.15089
30,302.4
31,15.437681
32,204.475147
33,561.6
34,436.8
35,648.0
36,157.397849
37,484.318536
38,18.918935
39,882.871945
40,494.4
41,292.8
42,579.165954
43,447.79344
44,529.624084
45,313.023175
46,173.956072
47,307.2
48,831.625979
49,436.8
50,302.56519
51,484.8
52,704.768111
53,518.4
54,312.0
55,504.0
56,863.327324
57,676.391482
58,350.4
59,537.6
60,465.258644
61,456.0
62,500.254235
63,5.434505
64,307.2
65,982.399613
66,467.803638
67,350.4
68,29.03416
69,321.6
70,115.728852
71,25.807685
72,787.993313
73,489.6
74,302.4
75,475.623251
76,320.849072
77,460.8
78,282.151207
79,321.6
80,364.8
81,679.827592
82,631.743039
83,11.879037
84,350.529033
85,863.3947
86,132.588288
87,297.6
88,269.905129
89,380.036697
90,513.6
91,425.266308
92,49.011099
93,513.6
94,936.0
95,142.062768
96,45.152521
97,561.6
98,30.567357
99,271.606799
100,408.0
101,470.4
102,784.8
103,316.8
104,489.6
105,638.4
106,465.633954
107,368.400146
108,236.902001
109,582.679087
110,64.109663
111,326.4
112,101.89645
113,143.747794
114,424.077159
115,316.8
116,2.704934
117,523.2
118,113.801497
119,192.87572
120,828.662719
121,532.8
122,975.107098
123,53.798708
124,606.642452
125,289.9122
126,392.604371
127,721.242206
128,456.52385
129,1087.995426
130,460.8
131,251.992083
132,345.6
133,321.6
134,99.257608
135,504.0
136,336.0
137,178.006524
138,604.8
139,8.312729
140,316.599228
141,312.0
142,56.300724
143,393.6
144,701.708239
145,128.705563
146,679.368378
147,497.126827
148,566.4
149,347.857619
150,554.4
151,465.41477
152,496.8
153,292.8
154,542.319401
155,303.148399
156,25.438063
157,292.8
158,787.993313
159,84.024413
160,215.8182
161,232.926145
162,532.8
163,710.433775
164,552.0
165,408.374746
166,408.0
167,792.0
168,532.8
169,754.358929
170,702.990032
171,206.837111
172,275.395894
173,459.738128
174,496.8
175,336.0
176,321.6
177,302.4
178,430.994107
179,67.632476
180,364.8
181,722.486994
182,590.4
183,481.027516
184,1124.427734
185,669.682001
186,1284.093173
187,240.259479
188,556.8
189,115.086827
190,470.4
191,321.6
192,383.167471
193,307.963291
194,355.2
195,520.364752
196,466.436375
197,451.670309
198,537.6
199,345.6
200,355.2
201,331.2
202,428.734656
203,398.4
204,494.4
205,369.6
206,831.752839
207,156.124914
208,373.428187
209,395.934815
210,350.4
211,231.201886
212,729.6
213,326.4
214,350.4
215,105.765111
216,639.464548
217,292.8
218,383.442328
219,316.8
220,99.085943
221,307.2
222,566.935022
223,436.8
224,412.8
225,307.2
226,321.6
227,773.470977
228,523.2
229,508.8
230,364.240307
231,638.4
232,354.729129
233,283.995953
234,403.2
235,20.543176
236,140.165035
237,321.6
238,398.4
239,102.879769
240,463.158502
241,205.444066
242,741.6
243,813.6
244,494.4
245,795.864079
246,614.4
247,72.438681
248,532.8
249,67.881546
250,641.388616
251,342.481173
252,331.2
253,340.8
254,412.101933
255,73.700573
256,374.4
257,350.4
258,345.6
259,722.024742
260,259.361117
261,537.6
262,396.295614
263,653.388564
264,121.032372
265,92.813396
266,528.0
267,159.636956
268,476.156957
269,727.2
270,321.6
271,42.078345
272,561.6
273,676.944023
274,566.4
275,580.473259
276,60.036683
277,321.6
278,47.53101
279,303.872752
280,100.620067
281,481.339891
282,508.8
283,86.320022
284,470.4
285,667.2
286,56.60333
287,262.865172
288,309.577946
289,350.4
290,365.364581
291,384.0
292,705.6
293,9.51528
294,244.564334
295,639.105556
