,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
0,69,32,5,0,1
1,94,13,42,0,8
2,108,18,38,0,2
3,106,18,65,0,7
4,73,12,44,0,1
5,69,14,94,0,2
6,67,0,13,0,9
7,101,0,68,0,4
8,71,13,3,0,2
9,93,17,7,0,8
10,67,23,5,0,3
11,110,27,87,0,3
12,110,9,82,2,3
13,110,23,25,1,8
14,70,21,10,2,8
15,64,12,50,1,2
16,67,14,7,0,1
17,101,12,59,0,1
18,72,9,1,0,7
19,101,11,21,0,3
20,74,31,21,0,1
21,79,8,49,0,1
22,71,13,3,0,2
23,73,4,44,3,1
24,61,30,91,0,1
25,72,22,1,0,3
26,111,15,47,0,1
27,139,33,64,0,1
28,111,33,54,2,2
29,80,17,44,1,1
30,63,4,6,1,1
31,237,1,14,0,6
32,65,19,56,0,3
33,63,28,17,0,6
34,62,19,42,0,8
35,71,11,40,0,6
36,117,10,62,0,2
37,91,19,86,0,8
38,90,7,79,0,1
39,66,4,15,2,1
40,70,7,1,1,1
41,71,3,32,0,1
42,99,12,28,0,1
43,103,15,16,0,2
44,61,15,56,0,1
45,172,5,4,3,3
46,73,7,57,3,5
47,71,7,10,0,4
48,92,11,77,0,1
49,62,11,56,0,1
50,104,1,28,0,2
51,106,18,95,0,2
52,69,4,40,3,2
53,64,19,44,0,3
54,113,20,26,0,1
55,91,1,53,0,3
56,64,24,59,0,2
57,101,29,12,0,1
58,124,34,47,2,1
59,108,4,98,0,1
60,65,1,36,1,3
61,105,4,50,0,6
62,94,20,53,0,1
63,100,0,86,0,2
64,63,21,28,0,2
65,73,29,71,0,1
66,112,7,60,0,3
67,97,5,65,0,2
68,95,13,20,0,5
69,102,17,0,0,2
70,113,17,12,0,2
71,65,29,27,0,1
72,64,1,47,2,1
73,104,30,3,1,5
74,65,5,68,3,9
75,73,27,38,0,2
76,71,17,48,0,6
77,67,20,33,0,2
78,99,6,83,2,2
79,186,0,30,1,2
80,77,20,26,0,2
81,74,23,0,0,8
82,102,12,54,0,1
83,63,35,15,0,1
84,90,28,69,0,3
85,66,15,32,1,2
86,96,28,90,5,5
87,69,3,79,3,1
88,67,13,12,0,1
89,76,15,60,1,4
90,119,21,81,1,2
91,88,7,3,0,2
92,63,24,84,0,1
93,67,23,88,0,1
94,77,8,10,1,9
95,74,2,26,1,2
96,109,12,18,0,9
97,62,29,11,0,8
98,74,30,87,3,9
99,76,11,60,0,7
100,107,3,65,0,3
101,70,24,10,0,1
102,62,2,85,1,3
103,107,9,18,0,1
104,130,28,88,0,4
105,88,29,93,0,9
106,65,13,34,0,2
107,117,5,89,1,3
108,74,17,32,0,9
109,62,5,86,1,1
110,85,4,18,0,7
111,98,16,2,1,8
112,109,19,54,0,7
113,66,16,32,2,2
114,67,0,54,0,2
115,102,11,70,1,3
116,133,35,90,0,1
117,86,35,77,0,9
118,62,24,10,0,1
119,78,10,90,2,1
120,83,26,89,0,1
121,112,6,3,0,9
122,68,17,77,0,7
123,192,9,77,0,3
124,63,17,11,0,1
125,113,10,27,1,2
126,78,20,26,0,1
127,97,29,37,0,1
128,66,13,43,0,2
129,69,9,12,0,2
130,109,14,82,0,1
131,74,14,8,0,8
132,72,16,35,1,4
133,118,32,99,0,1
134,74,15,91,0,2
135,117,6,1,0,1
136,119,5,83,0,3
137,63,2,5,0,1
138,79,0,70,0,2
139,89,20,55,0,2
140,74,7,20,0,1
141,140,9,54,0,1
142,127,30,11,0,6
143,168,28,49,0,1
144,96,31,34,0,1
145,92,34,30,0,1
146,72,7,75,0,2
147,67,24,51,3,4
148,99,0,21,0,3
149,105,3,92,0,1
150,70,29,65,0,1
151,107,29,29,0,9
152,126,11,7,0,1
153,127,2,5,0,3
154,74,17,90,0,1
155,65,13,55,0,1
156,92,28,89,0,1
157,82,14,27,0,2
158,105,18,50,0,1
159,64,14,8,1,2
160,63,1,5,0,1
161,111,7,63,0,1
162,118,14,64,0,4
163,63,7,63,1,1
164,77,15,12,2,2
165,68,12,28,0,2
166,69,33,61,1,2
167,61,17,1,1,7
168,82,1,57,0,2
169,74,11,85,1,2
170,63,20,0,0,1
171,101,30,99,0,2
172,73,12,4,1,2
173,61,5,46,3,1
174,74,23,0,0,8
175,117,24,37,0,1
176,112,1,48,0,1
177,74,3,47,0,8
178,74,3,95,0,7
179,104,17,51,0,1
180,115,12,17,1,2
181,217,4,29,2,4
182,62,28,17,0,3
183,85,23,57,0,2
184,110,3,16,0,1
185,111,11,98,4,2
186,114,26,53,0,1
187,138,20,11,0,1
188,76,3,17,0,1
189,82,5,41,2,7
190,111,12,79,1,1
191,69,5,40,0,1
192,70,27,34,1,1
193,67,7,31,3,2
194,63,6,12,0,2
195,81,11,33,0,1
196,255,12,1,0,1
197,67,3,45,2,1
198,96,12,35,1,2
199,76,15,60,1,4
200,150,30,28,0,3
201,123,1,67,3,1
202,69,4,54,0,1
203,113,20,1,0,7
204,63,0,54,3,7
205,116,14,35,0,2
206,72,16,64,0,1
207,190,13,53,0,3
208,116,10,0,0,3
209,78,15,6,0,3
210,98,12,34,0,1
211,67,28,22,0,5
212,95,4,69,0,2
213,70,2,35,0,3
214,74,7,67,0,1
215,85,6,23,0,3
216,159,20,71,0,1
217,84,1,9,0,6
218,112,12,93,0,3
219,72,19,69,0,1
220,74,1,72,0,3
221,69,1,96,0,8
222,72,9,5,0,9
223,83,30,72,0,7
224,103,23,53,0,2
225,77,7,50,0,5
226,74,2,42,0,9
227,65,15,58,0,1
228,114,13,72,2,9
229,66,8,16,0,9
230,73,18,45,0,5
231,64,10,61,0,2
232,90,18,70,0,2
233,152,12,89,0,1
234,68,19,16,0,8
235,73,3,84,0,8
236,63,12,30,0,2
237,136,8,77,0,3
238,61,18,26,0,1
239,63,7,99,1,1
240,66,18,42,0,3
241,67,22,77,0,2
242,64,13,64,0,4
243,84,6,37,5,5
244,91,2,8,5,1
245,86,6,84,0,1
246,64,4,38,0,3
247,81,3,60,2,2
248,245,34,83,0,1
249,67,13,79,0,2
250,108,13,66,0,1
251,70,35,98,0,2
252,109,13,13,0,8
253,106,25,54,1,3
254,77,21,73,0,3
255,133,35,90,0,1
256,135,5,64,0,4
257,63,18,83,1,4
258,84,2,0,2,2
259,65,30,28,0,1
260,62,32,59,0,2
261,64,2,4,0,5
262,68,28,77,0,2
263,67,23,65,0,4
264,83,17,83,0,6
265,63,0,40,0,4
266,94,28,7,0,2
267,72,21,86,0,8
268,86,15,56,0,3
269,103,20,43,0,1
270,65,8,32,0,2
271,113,19,10,0,7
272,103,2,27,0,1
273,133,3,89,0,1
274,128,6,46,4,1
275,65,15,53,0,3
276,111,30,1,0,5
277,116,0,50,0,4
278,76,33,36,2,2
279,92,2,85,0,1
280,89,13,45,0,5
281,69,21,70,4,3
282,71,27,34,1,6
283,66,19,14,1,1
284,108,14,79,0,3
285,78,25,87,0,3
286,73,23,90,0,3
287,72,0,86,0,7
288,114,9,72,1,5
289,63,7,39,0,5
290,112,33,75,1,8
291,91,19,30,0,3
292,225,21,35,0,8
293,71,6,5,0,3
294,118,17,6,0,6
295,64,21,77,0,1
296,110,34,49,1,2
297,66,25,51,2,1
298,72,0,60,0,9
299,101,16,88,0,8
300,67,33,27,0,1
301,68,15,69,0,8
302,117,17,41,1,9
303,112,7,65,0,2
304,80,24,95,0,1
305,118,14,64,0,4
306,116,0,45,0,2
307,132,8,28,0,3
308,111,18,63,0,1
309,67,3,0,0,6
310,61,5,48,1,6
311,110,6,62,0,1
312,73,3,19,0,6
313,116,8,47,0,3
314,106,10,97,2,3
315,153,7,75,0,2
316,121,11,20,4,1
317,98,17,75,0,1
318,139,16,14,0,1
319,69,2,70,1,1
320,110,29,42,0,1
321,66,32,30,0,7
322,73,14,39,1,1
323,73,1,22,0,5
324,80,33,31,0,2
325,102,35,48,0,2
326,98,24,11,1,2
327,65,2,75,0,1
328,68,15,65,0,1
329,98,23,82,0,2
330,63,1,56,0,1
331,111,27,36,0,9
332,71,7,47,0,1
333,82,25,63,0,2
334,70,17,42,1,5
335,74,17,73,0,1
336,67,6,5,0,2
337,67,23,49,1,3
338,70,1,11,0,5
339,76,35,14,0,1
340,119,6,48,1,8
341,154,20,97,0,2
342,72,2,22,0,5
343,61,28,31,0,1
344,71,25,29,0,3
345,73,23,91,0,2
346,71,1,69,0,3
347,64,20,29,0,8
348,79,17,17,3,2
349,92,35,61,0,1
350,106,18,77,2,3
351,74,34,32,2,2
352,72,7,77,0,1
353,63,17,20,0,3
354,69,9,89,0,1
355,74,27,28,0,1
356,109,5,36,3,1
357,161,29,1,0,1
358,66,2,95,0,3
359,69,9,67,1,4
360,69,21,86,0,2
361,76,8,44,0,3
362,112,28,30,0,2
363,69,3,92,0,1
364,65,18,90,0,7
365,80,15,62,0,1
366,156,6,86,0,9
367,71,29,70,0,1
368,62,19,73,0,1
369,88,4,83,0,1
370,63,27,52,0,7
371,112,7,42,0,9
372,68,19,53,3,3
373,106,18,95,0,2
374,74,32,39,0,3
375,126,6,62,0,2
376,100,1,7,0,1
377,171,0,21,0,1
378,72,25,76,0,3
379,79,14,28,0,1
380,90,22,2,0,1
381,64,2,68,0,1
382,62,29,27,0,1
383,115,29,79,1,2
384,116,32,81,0,1
385,104,15,23,0,2
386,72,29,54,4,1
387,85,2,20,0,3
388,105,18,50,0,1
389,68,8,61,0,2
390,69,1,81,0,3
391,63,13,71,0,5
392,98,9,50,0,2
393,65,5,19,1,1
394,111,4,47,0,3
395,96,13,98,0,6
396,67,20,37,0,1
397,114,15,67,0,8
398,116,23,21,0,2
399,73,8,78,0,1
400,69,1,78,0,9
401,136,0,25,0,1
402,87,9,75,0,2
403,67,12,67,5,7
404,244,29,22,0,2
405,123,4,43,1,2
406,61,22,45,0,3
407,113,15,6,0,2
408,109,10,59,0,2
409,183,6,16,0,2
410,176,25,29,0,5
411,73,21,80,0,6
412,69,6,97,0,4
413,62,5,31,0,1
414,86,21,76,0,6
415,112,7,34,1,1
416,67,13,43,1,9
417,74,34,51,0,4
418,183,24,63,0,1
419,114,9,38,0,1
420,127,3,93,0,3
421,62,20,80,1,2
422,136,14,69,1,8
423,71,10,61,0,3
424,112,4,49,0,1
425,230,28,63,0,2
426,129,31,5,0,3
427,66,27,1,0,2
428,133,35,90,0,1
429,177,35,90,0,7
430,63,35,59,3,3
431,72,28,43,0,1
432,110,6,74,0,1
433,124,3,70,2,6
434,130,12,15,0,1
435,196,0,73,2,1
436,74,1,6,1,1
437,79,22,75,0,2
438,113,3,43,0,3
439,76,18,63,0,3
440,113,1,22,1,1
441,74,1,62,0,7
442,132,9,85,0,6
443,73,9,14,0,2
444,131,4,40,4,9
445,64,30,80,0,6
446,88,30,19,0,4
447,105,6,2,0,3
448,78,13,32,0,1
449,114,19,69,0,1
450,100,4,6,0,1
451,117,15,93,0,6
452,73,24,57,0,4
453,91,14,68,0,1
454,63,30,57,0,6
455,74,25,34,0,1
456,86,5,55,0,1
457,138,15,35,0,4
458,65,32,52,0,2
459,90,27,37,0,2
460,65,1,47,1,3
461,113,10,15,1,9
462,68,3,4,0,1
463,100,24,53,0,4
464,70,4,41,0,1
465,76,24,32,1,2
466,61,25,70,0,1
467,92,20,50,0,1
468,68,9,8,0,5
469,131,4,67,0,9
470,65,27,36,2,1
471,70,27,22,0,1
472,111,32,13,0,3
473,114,12,43,0,1
474,83,35,87,0,8
475,70,16,33,0,2
476,74,7,93,0,2
477,80,20,36,0,8
478,95,14,64,0,2
479,64,12,24,0,1
480,66,25,3,0,2
481,65,15,58,0,1
482,67,0,13,0,9
483,65,2,37,0,4
484,86,1,27,2,9
485,84,31,25,0,3
486,88,13,20,0,1
487,92,3,28,0,4
488,69,15,21,0,3
489,68,6,83,0,1
490,62,6,88,0,5
491,74,5,51,0,2
492,110,0,87,0,1
493,86,12,89,1,2
494,73,19,57,0,9
495,117,34,23,0,1
496,276,33,91,0,1
497,70,20,81,0,1
498,96,20,61,1,1
499,106,23,90,0,2
500,94,9,48,0,1
501,66,2,75,0,2
502,111,6,24,2,1
503,64,23,19,0,2
504,103,33,90,0,4
505,66,31,70,0,1
506,102,14,79,2,4
507,72,28,93,0,2
508,81,23,51,0,5
509,66,17,18,0,1
510,253,15,59,0,1
511,139,3,31,0,5
512,137,0,86,3,2
513,113,34,5,0,8
514,110,20,66,0,7
515,67,2,49,1,3
516,80,17,23,0,1
517,113,33,93,0,1
518,72,1,77,0,2
519,180,24,66,0,1
520,130,12,50,0,2
521,74,23,0,0,8
522,203,20,66,0,2
523,86,19,93,3,5
524,69,16,45,0,6
525,68,2,10,1,9
526,63,18,15,0,2
527,66,6,27,0,1
528,102,10,65,0,1
529,69,2,70,1,1
530,68,7,15,0,7
531,95,13,20,0,5
532,76,19,83,0,4
533,98,1,15,0,2
534,88,30,19,0,6
535,111,5,71,0,1
536,104,28,23,2,6
537,86,34,80,0,5
538,73,9,94,0,2
539,118,33,1,0,9
540,73,3,79,0,6
541,192,24,92,0,2
542,106,11,92,0,1
543,127,19,40,0,2
544,113,5,56,0,1
545,74,35,59,0,1
546,102,3,46,0,3
547,99,9,85,0,5
548,65,19,51,2,4
549,72,5,85,0,4
550,115,7,31,0,4
551,129,21,59,0,3
552,107,28,23,1,1
553,115,12,45,1,1
554,94,34,59,4,1
555,73,33,58,0,9
556,64,32,41,1,8
557,85,25,75,3,1
558,108,11,66,0,3
559,161,3,71,1,9
560,109,28,52,3,2
561,61,17,71,3,2
562,147,3,87,1,1
563,90,2,7,0,1
564,87,33,39,0,1
565,101,19,16,0,1
566,154,33,24,0,1
567,165,16,43,0,3
568,107,2,74,0,3
569,64,34,44,0,1
570,63,32,19,0,2
571,67,25,16,0,3
572,88,12,54,0,6
573,69,12,68,0,1
574,73,21,87,0,4
575,67,9,40,0,2
576,110,8,80,2,3
577,65,16,78,0,1
578,99,22,46,1,7
579,103,14,88,0,4
580,62,12,27,0,3
581,198,18,55,1,1
582,62,25,12,1,2
583,88,22,72,3,5
584,119,9,8,0,3
585,69,1,78,0,9
586,118,32,84,0,3
587,62,19,18,1,1
588,65,1,36,1,3
589,135,23,98,0,1
590,112,3,51,2,1
591,96,31,34,0,1
592,70,0,46,1,1
593,111,4,85,0,1
594,106,11,15,0,6
595,62,30,77,0,1
596,73,11,51,0,1
597,109,16,70,1,1
598,118,15,77,0,4
599,63,5,90,0,3
600,62,6,4,0,2
601,61,20,9,0,1
602,74,11,14,0,2
603,108,8,55,0,2
604,69,33,67,0,7
605,66,7,43,1,5
606,110,6,37,0,6
607,125,0,73,0,2
608,113,1,88,0,2
609,193,4,40,1,1
610,74,22,69,0,3
611,100,23,19,1,3
612,81,12,9,0,3
613,69,28,28,3,2
614,65,8,23,0,1
615,116,15,35,0,1
616,118,1,59,0,2
617,108,2,72,0,7
618,65,25,14,0,7
619,67,18,73,0,8
620,62,26,81,0,1
621,72,20,90,0,9
622,68,30,10,0,3
623,66,1,56,0,1
624,88,11,98,0,2
625,89,17,56,0,1
626,128,16,38,0,2
627,84,25,31,2,5
628,88,6,47,0,2
629,73,3,25,0,5
630,74,0,52,0,2
631,62,15,7,0,2
632,95,12,17,1,6
633,271,20,40,0,1
634,71,6,97,1,1
635,103,5,7,2,1
636,188,34,54,3,2
637,67,19,91,0,1
638,68,4,85,0,1
639,89,24,21,0,3
640,68,18,30,0,1
641,67,8,10,0,1
642,103,6,28,0,2
643,73,21,42,0,1
644,63,2,79,0,2
645,102,18,32,5,1
646,107,17,74,0,6
647,97,0,10,0,2
648,112,1,4,1,2
649,131,6,52,0,6
650,111,4,40,0,9
651,69,20,65,0,2
652,95,13,20,0,5
653,83,32,26,1,5
654,78,27,10,0,8
655,73,26,84,0,3
656,107,24,99,0,2
657,137,7,42,0,3
658,86,25,18,0,1
659,62,27,53,0,2
660,72,9,71,0,3
661,67,30,63,0,1
662,78,10,63,0,1
663,72,4,11,1,7
664,103,5,5,0,1
665,72,18,11,0,1
666,68,2,28,1,4
667,64,5,52,0,6
668,128,5,76,0,8
669,68,1,88,1,1
670,68,11,58,0,2
671,112,26,37,0,9
672,95,15,90,0,1
673,118,26,6,3,3
674,70,18,47,0,1
675,70,25,48,0,9
676,65,11,34,0,1
677,92,27,26,0,3
678,66,25,0,2,2
679,76,19,7,0,3
680,74,30,82,4,1
681,126,19,11,0,2
682,125,11,73,1,3
683,100,4,22,1,2
684,72,16,76,0,3
685,110,11,71,3,7
686,112,31,46,0,1
687,87,11,10,0,9
688,71,35,62,0,2
689,94,30,0,1,7
690,71,2,20,0,2
691,66,22,32,1,2
692,64,2,68,0,1
