,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0,56274,69,32,5,0,1,384
1,37657,94,13,42,0,8,1131
2,48767,108,18,38,0,2,566
3,37657,106,18,65,0,7,529
4,43836,73,12,44,0,1,138
5,62902,69,14,94,0,2,159
6,55350,67,0,13,0,9,321
7,37657,101,0,68,0,4,363
8,14072,71,13,3,0,2,511
9,28812,93,17,7,0,8,425
10,37657,67,23,5,0,3,482
11,37657,110,27,87,0,3,528
12,77026,110,9,82,2,3,472
13,99845,110,23,25,1,8,528
14,83689,70,21,10,2,8,307
15,24599,64,12,50,1,2,42
16,25049,67,14,7,0,1,454
17,28855,101,12,59,0,1,647
18,51148,72,9,1,0,7,308
19,66140,101,11,21,0,3,484
20,57749,74,31,21,0,1,355
21,13789,79,8,49,0,1,379
22,14072,71,13,3,0,2,511
23,37657,73,4,44,3,1,554
24,17870,61,30,91,0,1,439
25,97541,72,22,1,0,3,389
26,37657,111,15,47,0,1,799
27,10511,139,33,64,0,1,516
28,86584,111,33,54,2,2,532
29,75690,80,17,44,1,1,384
30,23158,63,4,6,1,1,322
31,65999,237,1,14,0,6,615
32,37657,65,19,56,0,3,308
33,54500,63,28,17,0,6,302
34,37260,62,19,42,0,8,15
35,68987,71,11,40,0,6,204
36,42305,117,10,62,0,2,561
37,65706,91,19,86,0,8,436
38,37657,90,7,79,0,1,648
39,53243,66,4,15,2,1,157
40,37657,70,7,1,1,1,484
41,50071,71,3,32,0,1,18
42,60021,99,12,28,0,1,882
43,43244,103,15,16,0,2,494
44,92834,61,15,56,0,1,292
45,10105,172,5,4,3,3,0
46,37657,73,7,57,3,5,579
47,23218,71,7,10,0,4,447
48,37657,92,11,77,0,1,529
49,37657,62,11,56,0,1,313
50,24804,104,1,28,0,2,593
51,33190,106,18,95,0,2,508
52,36014,69,4,40,3,2,173
53,29834,64,19,44,0,3,307
54,16701,113,20,26,0,1,831
55,46623,91,1,53,0,3,436
56,64749,64,24,59,0,2,302
57,37657,101,29,12,0,1,484
58,16969,124,34,47,2,1,704
59,11621,108,4,98,0,1,518
60,17622,65,1,36,1,3,312
61,11489,105,4,50,0,6,504
62,37657,94,20,53,0,1,863
63,66525,100,0,86,0,2,104
64,37657,63,21,28,0,2,676
65,33663,73,29,71,0,1,350
66,22547,112,7,60,0,3,537
67,61486,97,5,65,0,2,465
68,37657,95,13,20,0,5,456
69,29879,102,17,0,0,2,500
70,93011,113,17,12,0,2,281
71,65186,65,29,27,0,1,5
72,26840,64,1,47,2,1,307
73,37657,104,30,3,1,5,982
74,75644,65,5,68,3,9,467
75,38984,73,27,38,0,2,350
76,71811,71,17,48,0,6,29
77,20961,67,20,33,0,2,321
78,38923,99,6,83,2,2,115
79,61321,186,0,30,1,2,427
80,37657,77,20,26,0,2,25
81,51066,74,23,0,0,8,787
82,34378,102,12,54,0,1,489
83,43072,63,35,15,0,1,302
84,25222,90,28,69,0,3,475
85,36765,66,15,32,1,2,320
86,23091,96,28,90,5,5,460
87,48269,69,3,79,3,1,282
88,32720,67,13,12,0,1,321
89,20396,76,15,60,1,4,364
90,21513,119,21,81,1,2,679
91,72540,88,7,3,0,2,631
92,80744,63,24,84,0,1,11
93,52822,67,23,88,0,1,350
94,37657,77,8,10,1,9,863
95,69738,74,2,26,1,2,492
96,17780,109,12,18,0,9,132
97,18107,62,29,11,0,8,297
98,57740,74,30,87,3,9,269
99,32627,76,11,60,0,7,380
100,37657,107,3,65,0,3,513
101,37657,70,24,10,0,1,425
102,65795,62,2,85,1,3,49
103,60475,107,9,18,0,1,513
104,37657,130,28,88,0,4,936
105,41837,88,29,93,0,9,142
106,32303,65,13,34,0,2,45
107,37657,117,5,89,1,3,561
108,40531,74,17,32,0,9,30
109,79898,62,5,86,1,1,271
110,56398,85,4,18,0,7,408
111,35257,98,16,2,1,8,470
112,27804,109,19,54,0,7,784
113,45506,66,16,32,2,2,316
114,65196,67,0,54,0,2,396
115,37657,102,11,70,1,3,489
116,20993,133,35,90,0,1,638
117,37839,86,35,77,0,9,465
118,92711,62,24,10,0,1,368
119,74665,78,10,90,2,1,236
120,37657,83,26,89,0,1,582
121,46833,112,6,3,0,9,64
122,88768,68,17,77,0,7,326
123,28262,192,9,77,0,3,921
124,33555,63,17,11,0,1,101
125,42780,113,10,27,1,2,542
126,58850,78,20,26,0,1,143
127,21880,97,29,37,0,1,424
128,25251,66,13,43,0,2,316
129,37657,69,9,12,0,2,2
130,24188,109,14,82,0,1,523
131,41611,74,14,8,0,8,113
132,28406,72,16,35,1,4,192
133,69833,118,32,99,0,1,828
134,37657,74,15,91,0,2,532
135,37657,117,6,1,0,1,975
136,80536,119,5,83,0,3,53
137,37657,63,2,5,0,1,606
138,97732,79,0,70,0,2,289
139,61222,89,20,55,0,2,392
140,37657,74,7,20,0,1,721
141,50335,140,9,54,0,1,456
142,37657,127,30,11,0,6,1087
143,63221,168,28,49,0,1,806
144,37657,96,31,34,0,1,460
145,64495,92,34,30,0,1,251
146,37657,72,7,75,0,2,345
147,28859,67,24,51,3,4,321
148,77330,99,0,21,0,3,99
149,37657,105,3,92,0,1,504
150,24495,70,29,65,0,1,336
151,95697,107,29,29,0,9,178
152,26372,126,11,7,0,1,604
153,17514,127,2,5,0,3,8
154,89270,74,17,90,0,1,316
155,29757,65,13,55,0,1,312
156,51814,92,28,89,0,1,56
157,24028,82,14,27,0,2,393
158,28142,105,18,50,0,1,701
159,52705,64,14,8,1,2,128
160,37657,63,1,5,0,1,679
161,84903,111,7,63,0,1,497
162,37657,118,14,64,0,4,566
163,24910,63,7,63,1,1,347
164,37657,77,15,12,2,2,554
165,21876,68,12,28,0,2,465
166,37657,69,33,61,1,2,496
167,37657,61,17,1,1,7,292
168,70699,82,1,57,0,2,256
169,37657,74,11,85,1,2,355
170,27501,63,20,0,0,1,542
171,15897,101,30,99,0,2,303
172,25141,73,12,4,1,2,25
173,37657,61,5,46,3,1,292
174,51066,74,23,0,0,8,787
175,28358,117,24,37,0,1,84
176,61846,112,1,48,0,1,215
177,90972,74,3,47,0,8,232
178,37657,74,3,95,0,7,532
179,29549,104,17,51,0,1,710
180,37657,115,12,17,1,2,552
