,total_claim_amount
0,384.811147
1,566.472247
2,529.881344
3,138.130879
4,159.383042
5,321.6
6,363.02968
7,511.2
8,425.527834
9,482.4
10,528.0
11,472.029737
12,528.0
13,307.139132
14,42.920271
15,454.245098
16,647.442031
17,308.981664
18,484.8
19,355.2
20,379.2
21,511.2
22,554.376763
23,439.2
24,389.185006
25,799.2
26,516.237951
27,532.8
28,384.0
29,322.294043
30,615.927769
31,308.15089
32,302.4
33,15.437681
34,204.475147
35,561.6
36,436.8
37,648.0
38,157.397849
39,484.318536
40,18.918935
41,882.871945
42,494.4
43,292.8
44,0.517753
45,579.165954
46,447.79344
47,529.624084
48,313.023175
49,593.830288
50,508.8
51,173.956072
52,307.2
53,831.625979
54,436.8
55,302.56519
56,484.8
57,704.768111
58,518.4
59,312.0
60,504.0
61,863.327324
62,104.331355
63,676.391482
64,350.4
65,537.6
66,465.258644
67,456.0
68,500.254235
69,281.451042
70,5.434505
71,307.2
72,467.803638
73,350.4
74,29.03416
75,321.6
76,115.728852
77,427.63121
78,25.807685
79,787.993313
80,489.6
81,302.4
82,475.623251
83,320.849072
84,460.8
85,282.151207
86,321.6
87,364.8
88,679.827592
89,631.743039
90,11.879037
91,350.529033
92,863.3947
93,492.127532
94,132.588288
95,297.6
96,269.905129
97,380.036697
98,513.6
99,425.266308
100,49.011099
101,513.6
102,936.0
103,142.062768
104,45.152521
105,561.6
106,30.567357
107,271.606799
108,408.0
109,470.4
110,784.8
111,316.8
112,396.082036
113,489.6
114,638.4
115,465.633954
116,368.400146
117,236.902001
118,582.679087
119,64.109663
120,326.4
121,921.6
122,101.89645
123,542.4
124,143.747794
125,424.077159
126,316.8
127,2.704934
128,523.2
129,113.801497
130,192.87572
131,828.662719
132,532.8
133,53.798708
134,606.642452
135,289.9122
136,392.604371
137,721.242206
138,456.52385
139,806.4
140,460.8
141,251.992083
142,345.6
143,321.6
144,99.257608
145,504.0
146,336.0
147,178.006524
148,604.8
149,8.312729
150,316.599228
151,312.0
152,56.300724
153,393.6
154,701.708239
155,128.705563
156,679.368378
157,497.126827
158,566.4
159,347.857619
160,554.4
161,465.41477
162,496.8
163,292.8
164,256.813837
165,355.2
166,542.319401
167,303.148399
168,25.438063
169,292.8
170,787.993313
171,84.024413
172,215.8182
173,232.926145
174,532.8
175,710.433775
176,552.0
177,408.374746
178,408.0
179,792.0
180,532.8
181,754.358929
182,702.990032
183,206.837111
184,275.395894
185,459.738128
186,496.8
187,336.0
188,321.6
189,302.4
190,430.994107
191,67.632476
192,844.481918
193,364.8
194,722.486994
195,590.4
196,481.027516
197,669.682001
198,240.259479
199,912.0
200,556.8
201,115.086827
202,470.4
203,321.6
204,383.167471
205,307.963291
206,355.2
207,520.364752
208,466.436375
209,451.670309
210,537.6
211,345.6
212,355.2
213,331.2
214,428.734656
215,398.4
216,494.4
217,369.6
218,831.752839
219,156.124914
220,373.428187
221,395.934815
222,350.4
223,231.201886
224,289.904105
225,729.6
226,326.4
227,350.4
228,105.765111
229,639.464548
230,292.8
231,383.442328
232,316.8
233,99.085943
234,307.2
235,566.935022
236,436.8
237,412.8
238,307.2
239,388.8
240,321.6
241,773.470977
242,424.883448
243,523.2
244,508.8
245,364.240307
246,638.4
247,354.729129
248,283.995953
249,403.2
250,20.543176
251,385.115437
252,140.165035
253,326.4
254,321.6
255,398.4
256,102.879769
257,56.868289
258,463.158502
259,205.444066
260,741.6
261,56.371967
262,813.6
263,494.4
264,795.864079
265,614.4
266,72.438681
267,532.8
268,67.881546
269,402.636829
270,641.388616
271,342.481173
272,331.2
273,340.8
274,412.101933
275,73.700573
276,374.4
277,350.4
278,345.6
279,722.024742
280,259.361117
281,537.6
282,396.295614
283,358.281562
284,653.388564
285,121.032372
286,92.813396
287,528.0
288,159.636956
289,476.156957
290,727.2
291,321.6
292,42.078345
293,561.6
294,200.11606
295,676.944023
296,566.4
297,830.623064
298,580.473259
299,60.036683
300,321.6
301,47.53101
302,303.872752
303,100.620067
304,481.339891
305,508.8
306,86.320022
307,470.4
308,667.2
309,56.60333
310,262.865172
311,309.577946
312,350.4
313,365.364581
314,384.0
315,489.6
316,705.6
317,9.51528
318,244.564334
319,639.105556
320,453.6
321,532.8
322,511.2
323,554.522969
324,336.0
325,402.449823
326,327.020539
327,5.3953
328,131.401291
329,99.382943
330,856.8
331,739.2
332,518.4
333,292.8
334,340.8
335,350.4
336,340.8
337,260.879903
338,64.546877
339,441.6
340,37.910623
341,202.860399
342,345.6
343,94.030308
344,331.2
345,355.2
346,286.234931
347,316.8
348,466.570791
349,331.2
350,364.8
351,331.2
352,312.0
353,421.484456
354,430.505942
355,398.502948
356,7.646763
357,55.510526
358,351.270869
359,806.4
360,647.454583
361,508.8
362,128.43823
363,302.033971
364,480.0
365,518.4
366,379.2
367,244.362072
368,201.455005
369,297.6
370,552.0
371,741.418485
372,707.430832
373,305.575785
374,376.126419
375,701.708239
376,152.184244
377,176.819414
378,104.454624
379,941.718054
380,468.0
381,121.306839
382,460.8
383,67.859881
384,539.843003
385,556.8
386,350.4
387,331.2
388,765.709629
389,626.4
390,321.6
391,494.395024
392,115.545086
393,19.938981
394,799.926741
395,523.2
396,878.4
397,444.470676
398,268.819985
399,331.2
400,297.6
401,412.8
402,806.4
403,321.6
404,532.8
405,691.412378
406,804.811859
407,297.6
408,50.587035
409,537.6
410,151.528482
411,347.075948
412,271.697529
413,638.4
414,849.6
415,639.45899
416,345.6
417,528.0
418,595.2
419,624.0
420,355.2
421,125.194389
422,235.220971
423,395.34111
424,542.4
425,772.798511
426,633.6
427,350.4
428,168.517149
429,307.2
430,633.6
431,504.0
432,845.654042
433,92.915251
434,668.29397
435,700.901632
436,525.6
437,25.299
438,375.330097
439,418.233667
440,398.240791
441,938.513425
442,338.619869
443,339.344531
444,302.818833
445,619.165344
446,326.4
447,259.561195
448,336.0
449,364.8
450,179.161843
451,662.4
452,75.501852
453,306.983596
454,84.026848
455,139.489926
456,607.4459
457,631.124372
458,628.023494
459,336.0
460,426.655599
461,91.417923
462,317.844812
463,460.8
464,86.461582
465,156.124914
466,321.6
467,362.774545
468,221.856184
469,614.675906
470,662.4
471,331.2
472,145.252168
473,374.240783
474,355.2
475,528.0
476,619.2
477,80.669257
478,561.6
479,504.0
480,460.8
481,468.566133
482,842.43785
483,475.2
484,268.471802
485,494.4
486,475.2
487,138.722385
488,345.6
489,467.24802
490,467.503236
491,667.2
492,192.085299
493,619.973889
494,321.6
495,384.0
496,251.774574
497,866.208321
498,599.648466
499,787.993313
500,619.2
501,72.852047
502,449.819671
503,302.4
504,316.8
505,489.6
506,56.60333
507,259.060862
508,456.0
509,364.8
510,470.4
511,299.356083
512,699.1679
513,117.959654
514,545.240341
515,350.4
516,328.231432
517,66.568642
518,722.178166
519,609.6
520,542.4
521,532.8
522,369.614729
523,655.41333
524,312.0
525,345.6
526,673.34265
527,619.2
528,513.6
529,23.810491
530,451.2
531,350.4
532,307.2
533,408.0
534,231.922173
535,772.8
536,664.980242
537,292.8
538,46.492039
539,432.0
540,78.085149
541,564.466556
542,739.2
543,792.0
544,289.040734
545,155.938593
546,302.4
547,326.549425
548,653.65668
549,103.935601
550,809.532341
551,321.6
552,528.0
553,312.0
554,580.72531
555,59.987126
556,238.005074
557,245.447622
558,135.26125
559,571.2
560,331.2
561,566.4
562,297.6
563,312.0
564,637.063458
565,537.6
566,460.8
567,75.936096
568,799.2
569,603.058114
570,67.530904
571,312.921256
572,166.937747
573,566.4
574,135.382194
575,17.742954
576,1.838367
577,197.776009
578,612.102262
579,331.2
580,316.8
581,600.0
582,542.4
583,926.4
584,392.6364
585,215.226476
586,160.598662
587,371.803029
588,312.0
589,443.670399
590,612.300581
591,290.391526
592,316.795337
593,405.527937
594,208.598246
595,345.6
596,301.437365
597,456.473115
598,152.338562
599,491.755368
600,48.517439
601,430.375049
602,633.6
603,350.4
604,246.489123
605,128.969729
606,185.355353
607,9.071305
608,133.475315
609,902.4
610,321.6
611,623.223617
612,427.2
613,326.4
614,321.6
615,494.4
616,211.336937
617,227.872071
618,862.762957
619,513.6
620,113.367765
621,537.6
622,943.2
623,117.672722
624,225.145949
625,456.0
626,182.432565
627,644.755653
628,525.6
629,333.886816
630,311.103582
631,212.391975
632,297.6
633,174.041566
634,257.900458
635,486.278557
636,345.6
637,1.924709
638,518.4
639,326.4
640,262.12205
641,921.6
642,541.695658
643,326.4
644,327.682669
645,456.0
646,63.043197
647,336.0
648,15.631363
649,441.6
650,375.866091
651,364.8
652,355.2
653,452.616872
654,113.450122
655,480.0
656,16.03451
657,615.27228
658,615.256301
659,512.66245
660,74.523935
661,426.072946
662,169.287785
663,419.464143
664,201.455005
665,662.69318
666,494.4
667,494.4
668,326.4
669,669.6
670,395.729716
671,141.199465
672,58.557552
673,302.4
674,316.8
675,8.582971
676,285.418473
677,566.4
678,410.508316
679,244.23135
680,218.598065
681,643.826716
682,336.0
683,312.0
684,497.047297
685,657.6
686,230.245772
687,5.622751
688,292.8
689,614.4
690,333.5671
691,667.2
692,34.651305
693,678.100487
694,511.2
695,525.6
696,292.8
697,292.8
698,174.588413
699,159.391681
700,698.4
701,232.711071
702,190.43446
703,79.865605
704,393.6
705,382.085897
706,48.348319
707,133.425609
708,528.0
709,561.414794
710,316.8
711,445.287788
712,23.820158
